Abbey Lane     EH8 8HH
Frogston Terrace     EH10 7AD
Furcheons Park     EH8 7RZ
Galachlaw Shot     EH10 7JF
Galachlawside     EH10 7JG
Galvane Road     EH16 4WE
Gamekeeper's Loan     EH4 6LT
Gamekeeper's Park     EH4 6PA
Gamekeeper's Road     EH4 6LR
Gardiner Grove     EH4 3RT
Gardiner Road     EH4 3RL
Gardiner Terrace     EH4 3RS
Gardner's Crescent     EH3 8BZ
Garscube Terrace     EH12 6BH
Garvald Street     EH16 6FB
Gayfield Close     EH1 3NA
Gayfield Place     EH7 4AB
Gayfield Place Lane     EH1 3NZ
Gayfield Square     EH1 3NT
Gayfield Street     EH1 3NR
Gentle's Entry     EH8 8PD
George IV Bridge     EH1 1AD
George Square     EH8 9JU
George Street     EH2 2HN
Gibson Street     EH7 4LW
Gibson Terrace     EH11 1AA
Gifford Park     EH8 9NF
Gilberstoun     EH15 2QY
Gilberstoun Brig     EH15 2RP
Gilberstoun Loan     EH15 2RQ
Gilberstoun Place     EH15 2RB
Gilberstoun Wynd     EH15 2RR
Giles Street     EH6 6BB
Gillespie Crescent     EH10 4HT
Gillespie Place     EH10 4HS
Gillespie Road     EH13 0LL
Gillespie Street     EH3 9NH
Gillsland Park     EH10 5TN
Gillsland Road     EH10 5BW
Gilmerton Dykes Avenue     EH17 8LR
Gilmerton Dykes Crescent     EH17 8JE
Gilmerton Dykes Drive     EH17 8LA
Gilmerton Dykes Gardens     EH17 8JL
Gilmerton Dykes Grove     EH17 8JF
Gilmerton Dykes Loan     EH17 8LX
Gilmerton Dykes Place     EH17 8JH
Gilmerton Dykes Road     EH17 8PD
Gilmerton Dykes Street     EH17 8JB
Gilmerton Dykes Terrace     EH17 8LU
Gilmerton Dykes View     EH17 8LT
Gilmerton Place     EH17 8TP
Gilmerton Road     EH16 5TH
Gilmerton Station Road     EH17 8RZ
Gilmore Place     EH3 9NE
Gilmour Road     EH16 5NF
Gilmour Street     EH8 9HR
Gilmours Close     EH1 2HD
Gilmours Entry     EH8 9XL
Gladhouse Place     EH10 6TF
Gladstone Place     EH6 7LX
Gladstone Terrace     EH9 1LS
Glanville Place     EH3 6SZ
Glasgow Road     EH12 8HL
Glebe Gardens     EH12 7SG
Glebe Grove     EH12 7SH
Glebe Road     EH12 7SF
Glebe Terrace     EH12 7SQ
Glen Street     EH3 9JD
Glenallan Drive     EH16 5QX
Glenallan Loan     EH16 5RD
Glenarm Place     EH6 4TQ
Glencairn Crescent     EH12 5BS
Glendevon Avenue     EH12 5UD
Glendevon Gardens     EH12 5UR
Glendevon Grove     EH12 5UX
Glendevon Park     EH12 5UY
Glendevon Place     EH12 5UH
Glendevon Road     EH12 5XG
Glendevon Terrace     EH12 5UP
Glendinning Crescent     EH16 6DN
Glenfinlas Street     EH3 6AQ
Glengyle Terrace     EH3 9LL
Glenisla Gardens     EH9 2HR
Glenisla Gardens Lane     EH9 2HP
Glenlee Avenue     EH8 7HQ
Glenlee Gardens     EH8 7HG
Glenlockhart Bank     EH14 1BL
Glenlockhart Road     EH10 5RG
Glenlockhart Valley     EH14 1DE
Glenogle House     EH3 5HR
Glenogle Place     EH3 5HP
Glenogle Road     EH3 5HW
Glenogle Terrace     EH3 5HS
Glenorchy Terrace     EH9 2DH
Glenure Loan     EH4 7LP
Glenvarloch Crescent     EH16 6AP
Gloucester Lane     EH3 6ED
Gloucester Place     EH3 6EE
Gloucester Square     EH3 6EB
Gloucester Street     EH3 6EG
Goff Avenue     EH7 6TS
Gogar Mains Farm Road     EH12 9BP
Gogar Station Road     EH12 9BS
Gogarbank     EH12 9BY
Gogarbank, Station Road     EH12 9BU
Gogarloch Bank     EH12 9LA
Gogarloch Haugh     EH12 9JG
Gogarloch Muir     EH12 9JJ
Gogarloch Road     EH12 9JA
Gogarloch Syke     EH12 9JB
Gogarmuir Road     EH12 9BZ
Gogarstone Road     EH12 9BL
Goldenacre Terrace     EH3 5QP
Goldenrod Street     EH16 4WR
Goodtrees Gardens     EH17 7RY
Goodtrees Terrace     EH17 7EN
Goosander Place     EH6 4TY
Goosander Street     EH6 4UB
Gordon Loan     EH12 6LY
Gordon Road     EH12 6LU
Gordon Street     EH6 8NA
Gordon Terrace     EH16 5QH
Gorgie Park Close     EH14 1NQ
Gorgie Park Road     EH11 2QL
Gorgie Road     EH11 1TE
Gosford Place     EH6 4BH
Gracemount Avenue     EH16 6SJ
Gracemount Drive     EH16 6EX
Gracemount House Drive     EH16 6FD
Gracemount Place     EH16 6EH
Gracemount Road     EH16 6PH
Gracemount Square     EH16 6EG
Graham Street     EH6 5QN
Granby Road     EH16 5NH
Grandfield     EH6 4TJ
Grandville     EH6 4TH
Grange Court     EH9 1PX
Grange Crescent     EH9 2EH
Grange Loan     EH9 2DZ
Grange Loan Gardens     EH9 2EB
Grange Road     EH9 1TT
Grange Terrace     EH9 2LD
Grant Avenue     EH13 0DP
Granton Crescent     EH5 1BJ
Granton Gardens     EH5 1AX
Granton Grove     EH5 1AU
Granton Mains Avenue     EH4 4GA
Granton Mains Bank     EH4 4GH
Granton Mains Brae     EH4 4GE
Granton Mains Court     EH4 4GD
Granton Mains East     EH4 4GT
Granton Mains Gait     EH4 4GG
Granton Mains Vale     EH4 4GF
Granton Mains Wynd     EH4 4GB
Granton Medway     EH5 1HH
Granton Mill Crescent     EH4 4UT
Granton Mill Drive     EH4 4UD
Granton Mill March     EH4 4US
Granton Mill Park     EH4 4UU
Granton Mill Place     EH4 4UP
Granton Mill Road     EH4 4UR
Granton Mill West     EH4 4UW
Granton Park Avenue     EH5 1HS
Granton Park Avenue North     EH5 1GW
Granton Pier     EH5 1HF
Granton Place     EH5 1AL
Granton Road     EH5 1AH
Granton Square     EH5 1HA
Granton Terrace     EH5 1BG
Granton View     EH5 1BP
Grantully Place     EH9 1SQ
Granville Terrace     EH10 4PF
Grassmarket     EH1 2HJ
Gray's Court     EH8 9EX
Gray's Loan     EH10 5BS
Great Cannon Bank     EH15 1TN
Great Carleton Place     EH16 4TX
Great Carleton Square     EH16 4TW
Great Junction Street     EH6 5HX
Great King Street     EH3 6QH
Great Michael Close     EH6 4LY
Great Michael Rise     EH6 4JB
Great Stuart Street     EH3 6AP
Greenacre     EH14 3JG
Greenbank Avenue     EH10 5RD
Greenbank Crescent     EH10 5SG
Greenbank Drive     EH10 5GB
Greenbank Gardens     EH10 5SL
Greenbank Grove     EH10 5ST
Greenbank Lane     EH10 5RH
Greenbank Loan     EH10 5SH
Greenbank Park     EH10 5SP
Greenbank Place     EH10 6EP
Greenbank Rise     EH10 5RW
Greenbank Road     EH10 5RJ
Greenbank Row     EH10 5SY
Greenbank Terrace     EH10 5RA
Greencraig Drive     EH10 6TT
Greendale Park     EH4 4QD
Greendykes Road     EH16 4DP
Greenend Drive     EH17 7QG
Greenend Gardens     EH17 7QB
Greenend Grove     EH17 7QE
Greenhill Court     EH9 1BF
Greenhill Gardens     EH10 4BJ
Greenhill Park     EH10 4DW
Greenhill Place     EH10 4BR
Greenhill Terrace     EH10 4BS
Greenlaw Hedge     EH13 9QX
Greenlaw Rig     EH13 9QU
Greenmantle Loan     EH16 6DT
Greenpark     EH17 7TA
Greenside End     EH1 3AZ
Greenside Lane     EH1 3AH
Greenside Place     EH1 3AA
Greenside Row     EH1 3AJ
Greenwood Close     EH12 8WS
Greyfriars Place     EH1 2QQ
Grierson Avenue     EH5 2AP
Grierson Crescent     EH5 2AT
Grierson Gardens     EH5 2AS
Grierson Road     EH5 2BQ
Grierson Square     EH5 2AR
Grierson Villas     EH5 2AU
Grieve Crescent     EH4 4UG
Grigor Avenue     EH4 2PG
Grigor Drive     EH4 2PJ
Grigor Gardens     EH4 2PA
Grigor Terrace     EH4 2PH
Grindlay Street     EH3 9AP
Grindlay Street Court     EH3 9AR
Groathill Avenue     EH4 2LP
Groathill Gardens East     EH4 2LT
Groathill Gardens West     EH4 2LU
Groathill Loan     EH4 2WL
Groathill Road North     EH4 2RG
Groathill Road South     EH4 2LS
Grosvenor Crescent     EH12 5EL
Grosvenor Gardens     EH12 5JU
Grosvenor Street     EH12 5ED
Grove Street     EH3 8AA
Grove Terrace     EH3 8BA
Grundieswell Road     EH17 8UB
Guardianswood     EH12 6PG
Guardwell Crescent     EH17 7HA
Guardwell Glen     EH17 7GZ
Gullans Close     EH8 8JW
Gulliver Street     EH16 4WA
Gunnet Court     EH4 4SG
Guthrie Street     EH1 1JG
Gyle Avenue     EH12 9JR
Gyle Park Gardens     EH12 8NG
Gylemuir Road     EH12 7DL
Haddington Place     EH7 4AE
Haddon Court     EH8 9EL
Hailes Approach     EH13 0JQ
Hailes Avenue     EH13 0LZ
Hailes Bank     EH13 0JJ
Hailes Crescent     EH13 0ND
Hailes Gardens     EH13 0JH
Hailes Grove     EH13 0NE
Hailes Park     EH13 0NG
Hailes Street     EH3 9NF
Hailes Terrace     EH13 0NB
Hailesland Gardens     EH14 2QD
Hailesland Grove     EH14 2QF
Hailesland Park     EH14 2RA
Hailesland Place     EH14 2SL
Hailesland Road     EH14 2QS
Hainburn Park     EH10 7HH
Hall Terrace     EH12 7HF
Hallhead Road     EH16 5QJ
Halmyre Street     EH6 8PE
Hamburgh Place     EH6 6PD
Hamilton Drive     EH15 1NP
Hamilton Drive West     EH15 1NR
Hamilton Gardens     EH15 1NH
Hamilton Grove     EH15 1NJ
Hamilton Park     EH15 1NW
Hamilton Place     EH3 5AU
Hamilton Terrace     EH15 1NB
Hamilton's Folly Mews     EH8 9AW
Hammermen's Entry     EH8 8PA
Hampton Place     EH12 5JA
Hampton Terrace     EH12 5JD
Handyside Place     EH11 1ZH
Hanover Street     EH2 1DJ
Harbour Place     EH15 1TQ
Harden Place     EH11 1JB
Hardwell Close     EH8 9RX
Harelaw Road     EH13 0DR
Harewood Road     EH16 4GF
Harperrig Way     EH13 9HS
Harrismith Place     EH7 5PA
Harrison Gardens     EH11 1SB
Harrison Lane     EH11 1HG
Harrison Place     EH11 1SF
Harrison Road     EH11 1EG
Hart Street     EH1 3RN
Hart Street Lane     EH1 3RG
Hartington Gardens     EH10 4LD
Hartington Place     EH10 4LE
Harvesters Place     EH14 3JL
Harvesters Square     EH14 3JN
Harvesters Way     EH14 3JF
Hasties Close     EH1 1HJ
Hatters Lane     EH7 4GX
Hatton Place     EH9 1UA
Haugh Park     EH14 2BD
Haugh Street     EH4 1LT
Hawkhead Crescent     EH16 6LR
Hawkhead Grove     EH16 6LS
Hawkhill     EH7 6LA
Hawkhill Avenue     EH7 6BU
Hawkhill Close     EH7 6AB
Hawthorn Place     EH17 8QN
Hawthornbank Lane     EH4 3BH
Hawthornbank Place     EH6 4HG
Hawthornbank Terrace     EH6 4HQ
Hawthornden Place     EH7 4RF
Hawthornvale     EH6 4JH
Hay Avenue     EH16 4AQ
Hay Drive     EH16 4AG
Hay Gardens     EH16 4QX
Hay Place     EH16 4QR
Hay Terrace     EH16 4QL
Hayfield     EH12 8UH
Haymarket     EH12 5EY
Haymarket Terrace     EH12 5EZ
Haymarket Yards     EH12 5BH
Haystack Park     EH12 9LT
Hazelbank Terrace     EH11 1SL
Hazeldean Terrace     EH16 5RT
Hazelwood Grove     EH16 5SY
Headrigg Row     EH16 5RZ
Henderland Road     EH12 6BB
Henderson Gardens     EH6 6BX
Henderson Place     EH3 5DJ
Henderson Place Lane     EH3 5DG
Henderson Row     EH3 5BB
Henderson Street     EH6 6BS
Henderson Terrace     EH11 2JY
Heriot Bridge     EH1 2HR
Heriot Place     EH3 9EX
Heriot Row     EH3 6EN
Heriothill Terrace     EH7 4DY
Hermand Crescent     EH11 1LP
Hermand Street     EH11 1LR
Hermand Terrace     EH11 1QZ
Hermitage Drive     EH10 6BX
Hermitage Gardens     EH10 6AY
Hermitage Park     EH6 8EY
Hermitage Park Grove     EH6 8DU
Hermitage Park Lea     EH6 8DY
Hermitage Park South     EH6 8EZ
Hermitage Place     EH6 8AF
Hermitage Terrace     EH10 4RP
Hermits Croft     EH8 9RF
Heron Place     EH5 1GG
Hesperus Broadway     EH5 1FT
Hesperus Crossway     EH5 1FX
Hewson Way     EH16 4WF
High Buckstone     EH10 6XS
High Riggs     EH3 9BW
High School Yards     EH1 1LZ
High Street     EH1 1BX
High Street, Warriston's Close     EH1 1PG
High Waterfield     EH10 6TQ
Hill Place     EH8 9DP
Hill Square     EH8 9DR
Hill Street     EH2 3JP
Hill Street North Lane     EH2 3LQ
Hillcoat Loan     EH15 1UA
Hillcoat Place     EH15 1TW
Hillend     EH10 7DY
Hillend Place     EH8 7AE
Hillhouse Road     EH4 2AG
Hillpark Avenue     EH4 7AH
Hillpark Brae     EH4 7TD
Hillpark Court     EH4 7BE
Hillpark Crescent     EH4 7BG
Hillpark Drive     EH4 7AU
Hillpark Gardens     EH4 7AJ
Hillpark Green     EH4 7TB
Hillpark Grove     EH4 7AP
Hillpark Loan     EH4 7BH
Hillpark Rise     EH4 7BB
Hillpark Road     EH4 7AN
Hillpark Terrace     EH4 7SX
Hillpark Way     EH4 7BJ
Hillpark Wood     EH4 7SZ
Hillside Crescent     EH7 5DY
Hillside Street     EH7 5HB
Hillview     EH4 2AB
Hillview Crescent     EH12 8QF
Hillview Drive     EH12 8QP
Hillview Road     EH12 8QE
Hillview Terrace     EH12 8RA
Hoffmann Place     EH15 3FD
Hollybank Terrace     EH11 1SP
Holyrood Park     EH16 5BT
Holyrood Park Road     EH16 5BG
Holyrood Road     EH8 8AE
Home Street     EH3 9JP
Hope Lane     EH15 3AN
Hope Lane North     EH15 2PT
Hope Park Crescent     EH8 9NA
Hope Park Square     EH8 9NW
Hope Park Terrace     EH8 9LY
Hope Street     EH2 4DB
Hope Terrace     EH9 2AP
Hopefield Terrace     EH6 4AA
Hopetoun Crescent     EH7 4AU
Hopetoun Street     EH7 4GH
Horne Terrace     EH11 1JJ
Hoseason Gardens     EH4 7EY
Hosie Rigg     EH15 3RX
House O'Hill Avenue     EH4 5DB
House O'Hill Brae     EH4 5DQ
House O'Hill Crescent     EH4 5DE
House O'Hill Gardens     EH4 2AR
House O'Hill Green     EH4 5DJ
House O'Hill Grove     EH4 5DW
House O'Hill Place     EH4 5DG
House O'Hill Road     EH4 2AJ
House O'Hill Row     EH4 2AW
House O'Hill Terrace     EH4 2AA
Howard Place     EH3 5JY
Howard Street     EH3 5JP
Howden Hall Court     EH16 6UT
Howden Hall Crescent     EH16 6UR
Howden Hall Drive     EH16 6UJ
Howden Hall Gardens     EH16 6UN
Howden Hall Loan     EH16 6UY
Howden Hall Park     EH16 6UU
Howden Hall Road     EH16 6PG
Howden Hall Way     EH16 6UW
Howden Street     EH8 9HH
Howe Park     EH10 7HF
Howe Street     EH3 6TD
Hugh Miller Place     EH3 5JG
Hunter Square     EH1 1QW
Hunter's Close     EH1 2AW
Huntingdon Place     EH7 4AT
Huntly Street     EH3 5HB
Hutchison Avenue     EH14 1QE
Hutchison Cottages     EH14 1PX
Hutchison Crossway     EH14 1RP
Hutchison Gardens     EH14 1QG
Hutchison Grove     EH14 1QN
Hutchison Loan     EH14 1QF
Hutchison Medway     EH14 1QL
Hutchison Park     EH14 1RG
Hutchison Place     EH14 1QH
Hutchison Road     EH14 1PF
Hutchison Terrace     EH14 1QB
Hutchison View     EH14 1RX
Hyvot Avenue     EH17 8FS
Hyvot Bank Avenue     EH17 8NJ
Hyvot Court     EH17 8QZ
Hyvot Gardens     EH17 8FW
Hyvot Green     EH17 8PH
Hyvot Grove     EH17 8NR
Hyvot Loan     EH17 8FX
Hyvot Mill Drive     EH17 8NE
Hyvot Mill Road     EH17 8FT
Hyvot Park     EH17 8PR
Hyvot Terrace     EH17 8TB
Hyvot View     EH17 8PB
Hyvots Bank Avenue     EH17 8NH
Imperial Dock     EH6 7DR
Inchview Terrace     EH7 6TF
India Place     EH3 6EH
India Street     EH3 6EZ
Industrial Road     EH6 8AJ
Industry Lane     EH6 4EZ
Industry Lane, Industry Homes     EH6 4HA
Infirmary Street     EH1 1LT
Inglewood Place     EH16 6AR
Inglis Green Gait     EH14 2LG
Inglis Green Rigg     EH14 2LF
Inglis Green Road     EH14 1TN
Inveralmond Drive     EH4 6JX
Inveralmond Gardens     EH4 6LP
Inveralmond Grove     EH4 6RA
Inverleith Avenue     EH3 5PT
Inverleith Avenue South     EH3 5QA
Inverleith Gardens     EH3 5PR
Inverleith Grove     EH3 5PB
Inverleith Place     EH3 5PA
Inverleith Place Lane     EH3 5QJ
Inverleith Row     EH3 5LP
Inverleith Terrace     EH3 5NS
Inverleith Terrace Lane     EH3 5NP
Iona Street     EH6 8RH
Iona Street Lane     EH6 8SX
Ivanhoe Crescent     EH16 6AT
Ivy Terrace     EH11 1PJ
Jackson's Entry     EH8 8PJ
Jamaica Mews     EH3 6HL
Jamaica Street     EH3 6HF
Jamaica Street North Lane     EH3 6HQ
James Craig Walk     EH1 3BA
James Hutton Road     EH9 3FE
James Street     EH15 2DR
Jameson Place     EH6 8NZ
Jane Street     EH6 5HD
Janefield     EH17 8TA
Jean Armour Avenue     EH16 6XA
Jeffrey Avenue     EH4 3QX
Jeffrey Street     EH1 1DH
Jessfield Terrace     EH6 4JP
Jocks Lodge     EH8 7AA
John Street     EH15 2EB
John Street Lane East     EH15 2DZ
John Street Lane West     EH15 2EG
Johns Lane     EH6 7EU
Johns Place     EH6 7ED
Johnston Terrace     EH1 2NH
Joppa Gardens     EH15 2HU
Joppa Grove     EH15 2HX
Joppa Pans     EH15 2HF
Joppa Park     EH15 2EP
Joppa Road     EH15 2ET
Joppa Station Place     EH15 2QU
Joppa Terrace     EH15 2HY
Jordan Lane     EH10 4QX
Jubilee Road     EH12 9FS
Junction Place     EH6 5JA
K B Square     EH9 3DL
Kaimes Court     EH12 6DA
Kaimes Road     EH12 6JR
Katesmill Road     EH14 1JF
Kedslie Place     EH16 6NU
Kedslie Road     EH16 6NT
Keir Street     EH3 9EU
Keith Crescent     EH4 3NH
Keith Row     EH4 3NL
Keith Terrace     EH4 3NJ
Kekewich Avenue     EH7 6TY
Kemp Place     EH3 5HU
Kenilworth Drive     EH16 6DB
Kenmure Avenue     EH8 7HD
Kew Terrace     EH12 5JE
Kilgraston Court     EH9 2ES
Kilgraston Road     EH9 2DP
Kilmaurs Road     EH16 5DA
Kilmaurs Terrace     EH16 5BZ
Kilngate Brae     EH17 8UU
Kimmerghame Drive     EH4 2GJ
Kimmerghame Loan     EH4 2GL
Kimmerghame Path     EH4 2GN
Kimmerghame Place     EH4 2GD
Kimmerghame Row     EH4 2GF
Kimmerghame Terrace     EH4 2GG
Kimmerghame View     EH4 2GP
Kincaids Court     EH1 1JT
Kinellan Gardens     EH12 6HJ
Kinellan Road     EH12 6ES
King Malcolm Close     EH10 7JB
King Street     EH6 6TN
Kinghorn Place     EH6 4BN
King's Cramond     EH4 6RL
King's Haugh     EH16 5UY
King's Meadow     EH16 5JP
Kings Place     EH15 1DU
Kings Road     EH15 1DX
King's Stables Lane     EH1 2LQ
King's Stables Road     EH1 2EU
Kingsburgh Crescent     EH5 1JF
Kingsburgh Road     EH12 6DZ
Kingsknowe Avenue     EH14 2JL
Kingsknowe Court     EH14 2JS
Kingsknowe Crescent     EH14 2JZ
Kingsknowe Drive     EH14 2JU
Kingsknowe Gardens     EH14 2JF
Kingsknowe Grove     EH14 2JG
Kingsknowe Park     EH14 2JQ
Kingsknowe Place     EH14 2EG
Kingsknowe Road North     EH14 2BN
Kingsknowe Road South     EH14 2JE
Kingsknowe Terrace     EH14 2JJ
Kingston Avenue     EH16 5SP
Kinnaird Park     EH15 3RD
Kinnear Rise     EH3 5AS
Kinnear Road     EH3 5PE
Kirk Brae     EH16 6HH
Kirk Cramond     EH4 6HZ
Kirk Loan     EH12 7HD
Kirk Park     EH16 6HZ
Kirk Street     EH6 5EX
Kirkgate     EH16 6RX
Kirkhill Drive     EH16 5DG
Kirkhill Gardens     EH16 5DF
Kirkhill Road     EH16 5DD
Kirkhill Terrace     EH16 5DQ
Kirklands     EH12 9BA
Kirkwood Place     EH7 5TG
Kittle Yards     EH9 1PJ
Kyle Place     EH7 5XH
Ladehead     EH6 5TG
Ladiemeadow     EH12 7LP
Lady Lawson Street     EH3 9DH
Lady Menzies Place     EH7 5BA
Lady Nairne Crescent     EH8 7PB
Lady Nairne Grove     EH8 7LY
Lady Nairne Loan     EH8 7NJ
Lady Nairne Place     EH8 7LZ
Lady Road     EH16 5PA
Ladysmith Road     EH9 3EU
Ladywell Avenue     EH12 7LG
Ladywell Gardens     EH12 7LQ
Ladywell Road     EH12 7TA
Laichfield     EH14 1UR
Laichpark Loan     EH14 1UH
Laichpark Place     EH14 1UN
Laichpark Road     EH14 1UL
Laing Terrace     EH15 2DY
Lambs Court     EH6 4LS
Lammermoor Terrace     EH16 5SJ
Lamont Place     EH12 7AG
Lampacre Road     EH12 7HT
Lanark Road     EH13 0LT
Langton Road     EH9 3BN
Lansdowne Crescent     EH12 5EH
Lapicide Place     EH6 4HE
Larbourfield     EH11 4QY
Larchwood Square     EH12 8WT
Largo Place     EH6 4AG
Larkfield Gardens     EH5 3QA
Lasswade Bank     EH17 8HT
Lasswade Grove     EH17 8HS
Lasswade Road     EH16 6JB
Latch Park     EH13 0FD
Latta Place     EH6 7LP
Lauder Loan     EH9 2RB
Lauder Road     EH9 1UE
Lauderdale Street     EH9 1DD
Laurel Terrace     EH11 1NY
Laurie Street     EH6 7AB
Lauriston Farm Road     EH4 5EX
Lauriston Gardens     EH3 9HH
Lauriston Park     EH3 9JA
Lauriston Place     EH3 9AU
Lauriston Street     EH3 9DJ
Lauriston Terrace     EH3 9EH
Laverockbank Avenue     EH5 3BP
Laverockbank Crescent     EH5 3BR
Laverockbank Gardens     EH5 3DR
Laverockbank Grove     EH5 3DD
Laverockbank Road     EH5 3BZ
Laverockbank Terrace     EH5 3BJ
Laverockdale Crescent     EH13 0EY
Laverockdale Loan     EH13 0EZ
Laverockdale Park     EH13 0QE
Law Place     EH15 1TJ
Lawhouse Toll     EH15 3RH
Lawnmarket     EH1 2NT
Lawnmarket, Lady Stair's Close     EH1 2PA
Leadervale Road     EH16 6PA
Leadervale Terrace     EH16 6NX
Leamington Lane     EH10 4LS
Leamington Place     EH10 4JR
Leamington Road     EH3 9PD
Leamington Terrace     EH10 4JL
Learmonth Avenue     EH4 1BT
Learmonth Court     EH4 1PB
Learmonth Crescent     EH4 1DD
Learmonth Gardens     EH4 1HA
Learmonth Gardens Lane     EH4 1BE
Learmonth Gardens Mews     EH4 1EX
Learmonth Grove     EH4 1BL
Learmonth Park     EH4 1BY
Learmonth Place     EH4 1AU
Learmonth Terrace     EH4 1NZ
Lee Crescent     EH15 1LW
Leith Docks, Edinburgh Dock     EH6 7DW
Leith Docks, Prince Of Wales Dock     EH6 7DX
Leith Links     EH6 7QR
Leith Street     EH1 3AT
Leith Walk     EH6 5AA
Lennel Avenue     EH12 6DW
Lennox Row     EH5 3HJ
Lennox Street     EH4 1PY
Lennox Street Lane     EH4 1PZ
Lennymuir     EH12 0AP
Leopold Place     EH7 5JW
Leslie Place     EH4 1NF
Leven Close     EH3 9LF
Leven Street     EH3 9LG
Leven Terrace     EH3 9LT
Lewis Terrace     EH11 2BT
Liberton Brae     EH16 6AE
Liberton Drive     EH16 6NL
Liberton Gardens     EH16 6JR
Liberton Place     EH16 6NA
Liberton Road     EH16 6AH
Liberton Tower Lane     EH16 6TQ
Liddesdale Place     EH3 5JW
Lily Terrace     EH11 1PN
Lilyhill Terrace     EH8 7DR
Lime Kilns View     EH17 8TS
Limefield     EH17 8PF
Lindean Place     EH6 8AY
Linden Avenue     EH16 6FA
Lindsay Place     EH6 4BG
Lindsay Road     EH6 4DR
Lindsay Street     EH6 4EG
Lindsay Street, Hamilton Wynd     EH6 4EH
Links Gardens     EH6 7JG
Links Gardens Lane     EH6 7JQ
Links Lane     EH6 7AG
Links Place     EH6 7EZ
Lismore Avenue     EH8 7DW
Lismore Crescent     EH8 7DL
Lister Square     EH3 9GL
Little France Crescent     EH16 4TJ
Little France Drive     EH16 4UU
Little France Mills     EH16 4SF
Little France Road     EH16 4UX
Little Road     EH16 6SG
Littlejohn Avenue     EH10 5TG
Littlejohn Road     EH10 5GJ
Littlejohn Wynd     EH10 5SE
Livingstone Place     EH9 1PA
Lixmount Avenue     EH5 3EP
Lixmount Gardens     EH5 3DH
Loaning Crescent     EH7 6JL
Loaning Mills     EH7 6LL
Loaning Road     EH7 6JE
Loch Road     EH4 3PW
Lochend Avenue     EH7 6DT
Lochend Butterfly Way     EH7 5BF
Lochend Castle Barns     EH7 6DS
Lochend Close     EH8 8BL
Lochend Crescent     EH7 6EQ
Lochend Drive     EH7 6DH
Lochend Gardens     EH7 6DF
Lochend Grove     EH7 6DN
Lochend Park     EH7 6BT
Lochend Park View     EH7 5FB
Lochend Quadrant     EH7 6DL
Lochend Road     EH6 8BR
Lochend Road South     EH7 6BB
Lochend Square     EH7 6ED
Lochinvar Drive     EH5 1GJ
Lochrin Basin Lane     EH3 9RN
Lochrin Buildings     EH3 9NB
Lochrin Place     EH3 9QS
Lochrin Terrace     EH3 9QJ
Lochside Avenue     EH12 9DJ
Lochside Court     EH12 9FX
Lochside Place     EH12 9DF
Lochside View     EH12 9DH
Lochside Way     EH12 9DT
Lockerby Cottages     EH16 6QU
Lockerby Crescent     EH16 6XP
Lockerby Grove     EH16 6RU
Lockharton Avenue     EH14 1AY
Lockharton Crescent     EH14 1AX
Lockharton Gardens     EH14 1AU
Logan Street     EH3 5EN
Loganlea Avenue     EH7 6NG
Loganlea Drive     EH7 6LG
Loganlea Gardens     EH7 6LH
Loganlea Loan     EH7 6NH
Loganlea Place     EH7 6PB
Loganlea Road     EH7 6NJ
Loganlea Terrace     EH7 6NS
Logie Green Gardens     EH7 4HE
Logie Green Loan     EH7 4HA
Logie Green Road     EH7 4EY
Logie Mill     EH7 4HG
Lomond Road     EH5 3JL
London Road     EH7 5AP
London Road, Sunnybank     EH7 5TL
London Street     EH3 6LX
Long Craig Rigg     EH5 1QT
Longformacus Road     EH16 6SD
Longstone Avenue     EH14 2AZ
Longstone Cottages     EH14 2AU
Longstone Crescent     EH14 2AT
Longstone Gardens     EH14 2AW
Longstone Grove     EH14 2BT
Longstone Park     EH14 2BL
Longstone Road     EH14 2AG
Longstone Street     EH14 2BR
Longstone Terrace     EH14 2AL
Longstone View     EH14 2AN
Lonsdale Terrace     EH3 9HL
Lord Russell Place     EH9 1NQ
Lorne Place     EH6 8QT
Lorne Square     EH6 8QR
Lorne Street     EH6 8QF
Lothian Road     EH1 2DH
Lothian Street     EH1 1HB
Lothianburn, Damhead     EH10 7DZ
Lower Gilmore Bank     EH3 9QP
Lower Gilmore Place     EH3 9NY
Lower Granton Road     EH5 1ER
Lower Joppa     EH15 2ER
Lower London Road     EH7 5TE
Lower London Road, Whyte Place     EH7 5TA
Lufra Bank     EH5 1BS
Lurie Place     EH16 4GT
Lussielaw Road     EH9 3BU
Lutton Place     EH8 9PD
Lygon Road     EH16 5QA
Lyne Street     EH7 5DN
Lynedoch Place     EH3 7PX
Lynedoch Place Lane     EH3 7QA
Macdowall Road     EH9 3ED
Macfie Loan     EH13 0FP
Macgill Drive     EH4 4FA
Mackenzie Place     EH3 6TS
Madeira Place     EH6 4AN
Madeira Street     EH6 4AJ
Madelvic Square     EH5 1GZ
Magdala Crescent     EH12 5BD
Magdala Mews     EH12 5BX
Magdalene Avenue     EH15 3BH
Magdalene Court     EH15 3EF
Magdalene Drive     EH15 3BB
Magdalene Gardens     EH15 3DF
Magdalene Loan     EH15 3DP
Magdalene Medway     EH15 3DL
Magdalene Place     EH15 3BJ
Maidencraig Court     EH4 2BQ
Maidencraig Crescent     EH4 2BH
Maidencraig Grove     EH4 2BJ
